the_geom,Latitude,Longitude,Location,Name,Quantity,Type
POINT (-87.70509 41.887809999999995),41.88781,-87.70509,3114 West Carroll Avenue,"West Carroll, between Albany and Kedzie",2,Type B
POINT (-87.62465899999998 41.880547),41.880547,-87.624659,116 S. Michigan Ave,116 S. Michigan Ave,1,Type B
POINT (-87.71234038 41.8553204),41.8553204,-87.71234038,3459 W. Ogden,Plaza Food & Liquor,1,Type B
POINT (-87.66307500000002 41.857655999999984),41.857656,-87.663075,1445 West 18th Street,Coyote Restaurant-1451 W 18th Street,1,Type B
POINT (-87.668033 41.85798),41.85798,-87.668033,1646 West 18th Street,Fuzze (Restaurant)-1646 W. 18th Street,1,Type B
POINT (-87.74671477999999 41.92436674),41.92436674,-87.74671478,4800 W Fullerton,Dollar Tree,1,Decorative
POINT (-87.64449399999998 41.754478000000006),41.754478,-87.644494,7656 South Halsted Street,7656 South Halsted Street - Paradise Grill,1,Type B
POINT (-87.83267 41.95191100000001),41.951911,-87.83267,8221 West Irving Park Road,Draft Bar Chicago,1,Type B
POINT (-87.71510188 41.85170098),41.85170098,-87.71510188,3600 W. Cermack,Blessed Sacramento Catholic Church,1,Type B
POINT (-87.671903 41.943932),41.943932,-87.671903,3422 North Lincoln Avenue,Loba Pastry,1,Type B
POINT (-87.68424399999999 41.955205),41.955205,-87.684244,4046 N. Leavitt St.,"Coonley Elementary School, N Leavitt and W Cuyler",2,Type B
POINT (-87.682992 41.939690999999996),41.939691,-87.682992,2158 West Belmont Avenue,Belmont/Leavitt NE Corner,1,Type B
POINT (-87.63417299999999 41.87974500000001),41.879745,-87.634173,200 West Adams Street,Starbucks,1,Type B
POINT (-87.70233900000001 41.92544500000001),41.925445,-87.702339,2450 N. Milwaukee,Bar Estereo,3,Type B
POINT (-87.666512 41.858315),41.858315,-87.666512,1708 South Ashland Avenue,"Nonporous, 1708 South Ashland Avenue",1,Type B
POINT (-87.649668 41.94307799999999),41.943078,-87.649668,3342 North Halsted Street,3342 North Halsted - Sapphire Nail Salon,1,Type B
POINT (-87.649885 41.94886499999999),41.948865,-87.649885,3656 North Halsted Street,3656 North Halsted Street - Center on Halsted,2,Type B
POINT (-87.67363999999999 41.808775000000004),41.808775,-87.67364,1934 West 47th Street,Restaurante Familiar La Cecina-1934 W. 47th Street,1,Type B
POINT (-87.703266 41.926686),41.926686,-87.703266,2491 North Milwaukee Avenue,"Cafe Tola, 2489 N Milwaukee",1,Type B
POINT (-87.63520699999998 41.895371),41.895371,-87.635207,225 West Superior Street,Go Health,2,Type B
POINT (-87.637465 41.882572),41.882572,-87.637465,20 North Wacker Drive,Civic Opera House,3,Type B
POINT (-87.649651 41.94400100000001),41.944001,-87.649651,3410 North Halsted Street,3410 North Halsted - VIP Massage Spa,1,Type B
POINT (-87.674528 41.901258),41.901258,-87.674528,1057-1059 North Wolcott Avenue,Happy Village,2,Type B
POINT (-87.659455 41.968049),41.968049,-87.659455,4728-4744 North Broadway,4718 N Broadway,2,Type B
